	offermade	qty	names	selling_items	buying_items	selling_items_quantity	buying_items_quantity
23	2018-01-14 08:19:53	1	Wooph	['9084']	['2592']	['×1']	['×1']
24	2018-01-14 08:19:53	1	Wooph	['2742']	['2592']	['×1']	['×1']
25	2018-01-14 08:19:53	1	Wooph	['2735']	['2592']	['×1']	['×1']
26	2018-01-14 08:19:53	1	Wooph	['2631']	['2592']	['×1']	['×2']
27	2018-01-14 08:19:53	1	Wooph	['2698']	['2592']	['×1']	['×2']
28	2018-01-14 08:19:53	1	Wooph	['2806']	['2793']	['×1']	['×1']
29	2018-01-14 08:19:53	2	Wooph	['9086']	['2592']	['×1']	['×1']
30	2018-01-14 08:19:41	3	NoobyBooty	['2809']	['2794']	['×1']	['×1']
31	2018-01-14 08:18:55	1	Piyanist	['2990']	['2793']	['×1']	['×7']
32	2018-01-14 08:18:55	1	Piyanist	['2857']	['2793']	['×1']	['×2']
33	2018-01-14 08:18:54	1	Masterforu	['2793']	['2815', '2809']	['×1']	['×1', '×1']
34	2018-01-14 08:18:54	1	Masterforu	['2793']	['2824', '2821']	['×1']	['×1', '×1']
35	2018-01-14 08:18:16	1	Reveszl	['2667']	['2592']	['×1']	['×1']
36	2018-01-14 08:18:01	1	Kageboshi	['2793']	['9052']	['×6']	['×1']
37	2018-01-14 08:18:01	1	Kageboshi	['2793']	['8863']	['×3']	['×1']
38	2018-01-14 08:18:01	1	Kageboshi	['2793']	['8608']	['×6']	['×1']
39	2018-01-14 08:18:01	1	Kageboshi	['29826']	['9063', '9052']	['×8']	['×2', '×2']
40	2018-01-14 08:18:01	1	Kageboshi	['8608']	['2793']	['×1']	['×8']
41	2018-01-14 08:18:01	1	Kageboshi	['2990']	['2793']	['×1']	['×8']
42	2018-01-14 08:18:01	1	Kageboshi	['2736']	['2990']	['×1']	['×2']
43	2018-01-14 08:18:01	1	Kageboshi	['8609']	['2793']	['×1']	['×2']
44	2018-01-14 08:18:01	1	Kageboshi	['2793']	['8335']	['×2']	['×1']
45	2018-01-14 08:18:01	1	Kageboshi	['2793']	['2857']	['×2']	['×1']
46	2018-01-14 08:17:18	1	TWittySeal	['2815']	['2793']	['×1']	['×1']
47	2018-01-14 08:17:18	1	TWittySeal	['2709']	['2612']	['×1']	['×1']
48	2018-01-14 08:17:18	1	TWittySeal	['2631']	['2592']	['×1']	['×1']
49	2018-01-14 08:17:18	1	TWittySeal	['9085']	['2592']	['×1']	['×1']
50	2018-01-14 08:17:18	1	TWittySeal	['2698']	['2592']	['×1']	['×1']
51	2018-01-14 08:17:18	1	TWittySeal	['3857']	['2592']	['×1']	['×1']
52	2018-01-14 08:17:18	1	TWittySeal	['2722']	['2592']	['×1']	['×1']
53	2018-01-14 08:17:18	1	TWittySeal	['9084']	['2592']	['×1']	['×1']
54	2018-01-14 08:17:18	1	TWittySeal	['2707']	['2592']	['×1']	['×2']
55	2018-01-14 08:17:18	1	TWittySeal	['2706']	['2592']	['×1']	['×1']
56	2018-01-14 08:17:18	1	TWittySeal	['9086']	['2592']	['×1']	['×1']
57	2018-01-14 08:16:48	1	Nezza	['2990']	['2793', '9060']	['×1']	['×2', '×1']
58	2018-01-14 08:16:48	1	Nezza	['2990']	['2985']	['×1']	['×3']
59	2018-01-14 08:16:48	1	Nezza	['2990']	['8617', '2985']	['×1']	['×1', '×1']
60	2018-01-14 08:16:48	1	Nezza	['9052']	['8617', '2985']	['×1']	['×1', '×1']
61	2018-01-14 08:16:48	1	Nezza	['2990']	['2793', '9063']	['×1']	['×2', '×1']
62	2018-01-14 08:16:48	1	Nezza	['2794']	['3250']	['×1']	['×1']
63	2018-01-14 08:16:48	1	Nezza	['9052']	['2985']	['×1']	['×2']
64	2018-01-14 08:16:48	1	Nezza	['2985']	['9063']	['×1']	['×1']
65	2018-01-14 08:16:48	1	Nezza	['2985']	['9060']	['×1']	['×1']
66	2018-01-14 08:16:48	1	Nezza	['2985']	['9052']	['×1']	['×1']
67	2018-01-14 08:16:48	1	Nezza	['9060']	['2793', '2990']	['×1']	['×1', '×1']
68	2018-01-14 08:16:48	1	Nezza	['9060']	['2793', '9052']	['×1']	['×1', '×1']
69	2018-01-14 08:16:48	1	Nezza	['9060']	['2985']	['×1']	['×2']
70	2018-01-14 08:16:48	1	Nezza	['9052']	['2793', '2990']	['×1']	['×2', '×1']
71	2018-01-14 08:16:42	6	SparkyMKII	['2592']	['2613']	['×1']	['×2']
72	2018-01-14 08:16:18	1	SpeedyVW	['3312']	['2793']	['×1']	['×1']
73	2018-01-14 08:16:18	1	SpeedyVW	['2593']	['2592']	['×16']	['×7']
74	2018-01-14 08:16:18	1	SpeedyVW	['3170']	['2793']	['×1']	['×2']
75	2018-01-14 08:16:18	2	SpeedyVW	['3118']	['2793']	['×1']	['×1']
76	2018-01-14 08:16:18	1	SpeedyVW	['8852']	['2793']	['×1']	['×1']
77	2018-01-14 08:16:08	1	BIFpop	['2793']	['9011']	['×4']	['×1']
78	2018-01-14 08:15:40	2	ZXsiLenTXz	['2793']	['2591']	['×1']	['×8']
79	2018-01-14 08:15:31	1	Playerrras	['8339']	['2793']	['×1']	['×3']
80	2018-01-14 08:14:02	1	Raulochoa	['2793', '2990']	['29829']	['×3', '×1']	['×1']
81	2018-01-14 08:14:02	1	Raulochoa	['8618']	['2793']	['×1']	['×1']
82	2018-01-14 08:13:33	2	MarioGold	['2793']	['2592', '2636']	['×1']	['×6', '×1']
83	2018-01-14 08:13:31	1	IGetDaBag	['3152']	['2818']	['×1']	['×1']
84	2018-01-14 08:13:31	1	IGetDaBag	['2613']	['2612']	['×1']	['×1']
85	2018-01-14 08:13:31	1	IGetDaBag	['9069']	['2612']	['×1']	['×2']
86	2018-01-14 08:13:31	1	IGetDaBag	['2592']	['2612']	['×1']	['×2']
87	2018-01-14 08:13:31	1	IGetDaBag	['2591']	['2612']	['×1']	['×2']
88	2018-01-14 08:13:10	1	Voldemort	['2990']	['2793']	['×1']	['×7']
89	2018-01-14 08:12:56	1	Bafad	['2857']	['2854']	['×1']	['×1']
90	2018-01-14 08:12:56	1	Bafad	['2981']	['2793']	['×2']	['×1']
91	2018-01-14 08:12:56	1	Bafad	['2793']	['2854']	['×3']	['×1']
92	2018-01-14 08:12:56	1	Bafad	['2812']	['2794', '2793']	['×2']	['×1', '×1']
93	2018-01-14 08:12:56	1	Bafad	['2812']	['2793']	['×1']	['×1']
94	2018-01-14 08:12:56	4	Bafad	['8334']	['2794']	['×1']	['×2']
95	2018-01-14 08:12:56	1	Bafad	['8341']	['2793']	['×2']	['×1']
96	2018-01-14 08:12:56	1	Bafad	['8338']	['2794', '2793']	['×1']	['×1', '×1']
97	2018-01-14 08:12:56	3	Bafad	['8346']	['2793']	['×1']	['×1']
98	2018-01-14 08:12:56	1	Bafad	['3152']	['2793']	['×3']	['×1']
99	2018-01-14 08:12:15	1	Parcheesi	['9019']	['2793']	['×1']	['×2']
100	2018-01-14 08:12:15	1	Parcheesi	['9017']	['2793']	['×1']	['×6']
101	2018-01-14 08:12:15	1	Parcheesi	['8334']	['2794', '2793']	['×1']	['×2', '×1']
102	2018-01-14 08:12:15	1	Parcheesi	['2990']	['2793']	['×1']	['×7']
103	2018-01-14 08:12:15	1	Parcheesi	['9022']	['2793']	['×1']	['×1']
104	2018-01-14 08:12:15	1	Parcheesi	['8333']	['2793']	['×1']	['×2']
105	2018-01-14 08:12:15	1	Tekemakite	['2793']	['2592']	['×1']	['×7']
106	2018-01-14 08:12:15	1	Tekemakite	['2793', '8343', '2985']	['9063']	['×2', '×1', '×1']	['×1']
107	2018-01-14 08:12:15	1	Tekemakite	['2793']	['2591']	['×1']	['×7']
108	2018-01-14 08:12:07	1	RainOfHell	['2793']	['9052']	['×6']	['×1']
109	2018-01-14 08:12:07	1	RainOfHell	['2990']	['2793', '9052']	['×1']	['×1', '×1']
110	2018-01-14 08:12:07	1	RainOfHell	['2990']	['2793', '8608']	['×1']	['×1', '×1']
111	2018-01-14 08:12:07	1	RainOfHell	['2990']	['2793', '9056']	['×1']	['×1', '×1']
112	2018-01-14 08:12:07	1	RainOfHell	['2593', '2636', '2613']	['2592']	['×1', '×1', '×3']	['×2']
113	2018-01-14 08:12:07	1	RainOfHell	['2793']	['9063']	['×6']	['×1']
114	2018-01-14 08:12:07	1	RainOfHell	['2990']	['2793', '9063']	['×1']	['×1', '×1']
115	2018-01-14 08:12:07	1	RainOfHell	['2612']	['2793']	['×8']	['×1']
116	2018-01-14 08:12:07	1	RainOfHell	['2793']	['8608']	['×6']	['×1']
117	2018-01-14 08:12:07	1	RainOfHell	['2793']	['9060']	['×6']	['×1']
118	2018-01-14 08:12:07	1	RainOfHell	['2990']	['2793', '9060']	['×1']	['×2', '×1']
119	2018-01-14 08:12:07	1	RainOfHell	['2793']	['2990']	['×6']	['×1']
120	2018-01-14 08:12:07	1	RainOfHell	['2793']	['8617']	['×5']	['×1']
121	2018-01-14 08:12:07	1	RainOfHell	['2793']	['9056']	['×6']	['×1']
122	2018-01-14 08:11:28	1	Rogaine	['3293']	['2793']	['×1']	['×2']
123	2018-01-14 08:10:38	1	Gigabyted	['2793']	['8857']	['×5']	['×1']
124	2018-01-14 08:10:38	1	Gigabyted	['2592']	['2757']	['×1']	['×1']
125	2018-01-14 08:10:34	1	Gotserve	['2641']	['9063']	['×1']	['×2']
126	2018-01-14 08:10:34	1	Gotserve	['9610']	['2592']	['×1']	['×1']
127	2018-01-14 08:10:34	1	Gotserve	['9612']	['2592']	['×1']	['×1']
128	2018-01-14 08:10:34	1	Gotserve	['2697']	['2613']	['×1']	['×1']
129	2018-01-14 08:10:34	1	Gotserve	['1826']	['2592']	['×1']	['×2']
130	2018-01-14 08:10:34	1	Gotserve	['2751']	['2613']	['×1']	['×2']
131	2018-01-14 08:10:33	1	Theonurone	['2592', '2593']	['2591']	['×2', '×3']	['×4']
132	2018-01-14 08:10:33	1	Theonurone	['2793']	['29819']	['×5']	['×1']
133	2018-01-14 08:10:08	1	Sips	['2815']	['2793']	['×1']	['×1']
134	2018-01-14 08:10:08	1	Sips	['8609']	['2793']	['×1']	['×1']
135	2018-01-14 08:07:44	1	Flakschiff	['9612']	['2592']	['×1']	['×3']
136	2018-01-14 08:07:44	1	Flakschiff	['1826']	['2592']	['×1']	['×3']
137	2018-01-14 08:07:44	1	Flakschiff	['2752']	['2592']	['×1']	['×1']
138	2018-01-14 08:07:44	3	Flakschiff	['2692']	['2592']	['×1']	['×1']
139	2018-01-14 08:07:44	1	Flakschiff	['2706']	['2592']	['×1']	['×1']
140	2018-01-14 08:07:44	1	Flakschiff	['2703']	['2592']	['×1']	['×1']
141	2018-01-14 08:07:44	2	Flakschiff	['2698']	['2592']	['×1']	['×2']
142	2018-01-14 08:07:44	1	Flakschiff	['2707']	['2592']	['×1']	['×3']
143	2018-01-14 08:07:44	1	Flakschiff	['2735']	['2592']	['×1']	['×1']
144	2018-01-14 08:07:44	1	Flakschiff	['3184']	['2592']	['×1']	['×1']
145	2018-01-14 08:07:44	1	Flakschiff	['3185']	['2592']	['×1']	['×1']
146	2018-01-14 08:07:44	2	Flakschiff	['3192']	['2592']	['×1']	['×1']
147	2018-01-14 08:07:44	1	Flakschiff	['9084']	['2592']	['×1']	['×1']
148	2018-01-14 08:07:44	1	Flakschiff	['9086']	['2592']	['×1']	['×1']
149	2018-01-14 08:07:44	1	Flakschiff	['2630']	['2592']	['×1']	['×1']
150	2018-01-14 08:07:44	1	Flakschiff	['2793']	['2592']	['×1']	['×7']
151	2018-01-14 08:07:43	1	BSHlT	['2793']	['9075']	['×5']	['×1']
152	2018-01-14 08:07:43	1	BSHlT	['2793']	['29825']	['×5']	['×1']
153	2018-01-14 08:07:43	1	BSHlT	['2793']	['8984']	['×3']	['×1']
154	2018-01-14 08:07:43	1	BSHlT	['2990']	['2793']	['×1']	['×8']
155	2018-01-14 08:07:43	1	BSHlT	['2794', '2793']	['9056']	['×1', '×5']	['×1']
156	2018-01-14 08:07:43	1	BSHlT	['9060']	['2793']	['×1']	['×8']
157	2018-01-14 08:07:43	1	BSHlT	['2990']	['2793', '9056']	['×1']	['×1', '×1']
158	2018-01-14 08:07:14	1	Xuptop	['2806']	['2794']	['×1']	['×2']
159	2018-01-14 08:07:14	1	Xuptop	['2592']	['2794']	['×2']	['×1']
160	2018-01-14 08:07:07	6	NeeChan	['9612']	['2592']	['×1']	['×1']
161	2018-01-14 08:07:07	5	NeeChan	['2707']	['2592']	['×1']	['×2']
162	2018-01-14 08:07:07	1	NeeChan	['2631']	['2592']	['×1']	['×2']
163	2018-01-14 08:07:07	4	NeeChan	['2704']	['2592']	['×1']	['×2']
164	2018-01-14 08:07:07	1	NeeChan	['1826']	['2794']	['×1']	['×1']
165	2018-01-14 08:07:07	2	NeeChan	['3152']	['2794']	['×1']	['×1']
166	2018-01-14 08:07:07	1	NeeChan	['2824']	['2793']	['×1']	['×1']
167	2018-01-14 08:06:44	1	Fuckthatut	['2793']	['2850']	['×2']	['×1']
168	2018-01-14 08:06:26	1	Dreadxhold	['2592']	['2661']	['×1']	['×1']
169	2018-01-14 08:06:26	1	Dreadxhold	['2692']	['2592']	['×1']	['×1']
170	2018-01-14 08:05:08	1	SEBAMUEL	['3250']	['2793']	['×1']	['×1']
171	2018-01-14 08:04:38	1	AnEcho	['2793']	['2592']	['×1']	['×8']
172	2018-01-14 08:03:45	1	ThIndAsian	['2990']	['2793']	['×1']	['×7']
173	2018-01-14 08:03:45	1	ThIndAsian	['2858']	['2793']	['×1']	['×1']
174	2018-01-14 08:03:45	1	ThIndAsian	['8334']	['2793']	['×1']	['×1']
175	2018-01-14 08:03:45	1	ThIndAsian	['9610', '2704', '2860', '2982', '2983']	['2793']	['×1', '×1', '×1', '×1', '×1']	['×1']
176	2018-01-14 08:03:43	1	Chidorislu	['2645']	['2592']	['×1']	['×1']
177	2018-01-14 08:03:42	1	MaceLord	['2613']	['2793']	['×8']	['×1']
178	2018-01-14 08:03:42	1	MaceLord	['3245']	['2592']	['×2']	['×1']
179	2018-01-14 08:03:34	1	Ricalo	['2645']	['2591']	['×1']	['×1']
180	2018-01-14 08:03:34	1	Ricalo	['2785']	['2592']	['×1']	['×1']
181	2018-01-14 08:03:34	1	Ricalo	['2636']	['2591']	['×2']	['×1']
182	2018-01-14 08:03:34	1	Ricalo	['2793']	['2592']	['×1']	['×8']
183	2018-01-14 08:03:34	1	Ricalo	['2636']	['2794']	['×6']	['×1']
184	2018-01-14 08:03:34	1	Ricalo	['2706']	['2592']	['×1']	['×1']
185	2018-01-14 08:03:34	6	Ricalo	['2636']	['2592']	['×2']	['×1']
186	2018-01-14 08:03:34	1	Ricalo	['2636']	['2793']	['×8']	['×1']
187	2018-01-14 08:03:34	1	Ricalo	['2645']	['2592']	['×1']	['×1']
188	2018-01-14 08:02:22	1	AlbyCOOL	['2793']	['8862']	['×8']	['×1']
189	2018-01-14 08:01:15	1	Cordrear	['2794']	['2793']	['×2']	['×1']
190	2018-01-14 08:01:15	1	Cordrear	['3249']	['2592']	['×1']	['×2']
191	2018-01-14 08:01:15	1	Cordrear	['2695']	['2592']	['×1']	['×2']
192	2018-01-14 08:01:12	1	Huntersvil	['2990']	['2794', '2793']	['×1']	['×2', '×7']
193	2018-01-14 08:01:12	1	Huntersvil	['3262']	['2794']	['×1']	['×2']
194	2018-01-14 08:01:12	1	Huntersvil	['2794']	['2858']	['×1']	['×1']
195	2018-01-14 08:01:12	1	Huntersvil	['2793']	['29825']	['×5']	['×1']
196	2018-01-14 08:01:12	1	Huntersvil	['2793']	['8981']	['×3']	['×1']
197	2018-01-14 08:01:12	1	Huntersvil	['2793']	['8980']	['×3']	['×1']
198	2018-01-14 08:01:12	1	Huntersvil	['3210']	['2793']	['×1']	['×1']
199	2018-01-14 08:00:50	1	OrangeApp	['2979', '2981', '2984', '2986']	['2793']	['×1', '×1', '×1', '×1']	['×1']
200	2018-01-14 08:00:01	1	Plinco	['1808']	['2793']	['×1']	['×3']
201	2018-01-14 07:59:34	1	Mounepano	['8618']	['2793']	['×1']	['×1']
202	2018-01-14 07:58:57	1	ItsNotDon	['2806']	['2793']	['×2']	['×1']
203	2018-01-14 07:58:57	1	ItsNotDon	['2706']	['2592']	['×1']	['×1']
204	2018-01-14 07:58:57	1	ItsNotDon	['9610']	['2592']	['×1']	['×1']
205	2018-01-14 07:58:57	1	ItsNotDon	['2698']	['2592']	['×1']	['×1']
206	2018-01-14 07:58:57	1	ItsNotDon	['9084']	['2592']	['×1']	['×1']
207	2018-01-14 07:58:57	1	ItsNotDon	['9087']	['2592']	['×1']	['×1']
208	2018-01-14 07:58:57	1	ItsNotDon	['2722']	['2592']	['×1']	['×2']
209	2018-01-14 07:58:57	1	ItsNotDon	['2707']	['2592']	['×1']	['×2']
210	2018-01-14 07:58:57	1	ItsNotDon	['9086']	['2592']	['×1']	['×2']
211	2018-01-14 07:58:57	1	ItsNotDon	['2983']	['2592']	['×1']	['×1']
212	2018-01-14 07:58:57	1	ItsNotDon	['9612']	['2592']	['×1']	['×2']
213	2018-01-14 07:58:57	1	ItsNotDon	['1826']	['2592']	['×1']	['×2']
214	2018-01-14 07:58:57	1	ItsNotDon	['2631']	['2592']	['×1']	['×2']
215	2018-01-14 07:58:57	1	ItsNotDon	['2794']	['2793']	['×2']	['×1']
216	2018-01-14 07:58:57	1	ItsNotDon	['8844']	['2592']	['×1']	['×1']
217	2018-01-14 07:58:12	1	Carbyied	['2571']	['2592']	['×1']	['×1']
218	2018-01-14 07:58:12	1	Carbyied	['2752']	['2592']	['×1']	['×1']
219	2018-01-14 07:58:12	1	Carbyied	['2794']	['8615']	['×1']	['×1']
220	2018-01-14 07:58:12	1	Carbyied	['2793']	['9056']	['×1']	['×1']
221	2018-01-14 07:58:12	1	Carbyied	['2793']	['9063']	['×2']	['×1']
222	2018-01-14 07:58:12	1	Carbyied	['2794']	['2592']	['×1']	['×4']
223	2018-01-14 07:58:12	1	Carbyied	['2794']	['2980']	['×1']	['×1']
224	2018-01-14 07:58:12	1	Carbyied	['2794']	['2821']	['×1']	['×1']
225	2018-01-14 07:58:12	1	Carbyied	['2794']	['2824']	['×1']	['×1']
226	2018-01-14 07:58:12	1	Carbyied	['2794']	['2857']	['×1']	['×1']
227	2018-01-14 07:58:12	1	Carbyied	['2794']	['2850']	['×1']	['×1']
228	2018-01-14 07:58:12	1	Carbyied	['8616']	['2793']	['×1']	['×2']
229	2018-01-14 07:58:12	1	Carbyied	['9084']	['2592']	['×1']	['×1']
230	2018-01-14 07:58:12	1	Carbyied	['8618']	['2592']	['×1']	['×8']
231	2018-01-14 07:58:12	1	Carbyied	['8618']	['2793']	['×1']	['×1']
232	2018-01-14 07:58:12	1	Carbyied	['2608']	['2592']	['×1']	['×2']
233	2018-01-14 07:58:12	1	Carbyied	['2794']	['2765']	['×2']	['×1']
234	2018-01-14 07:58:12	1	Carbyied	['2793']	['2765']	['×1']	['×1']
235	2018-01-14 07:58:12	1	Carbyied	['2660']	['2592']	['×1']	['×1']
236	2018-01-14 07:56:01	1	Rubixboy	['3152']	['2794']	['×1']	['×1']
237	2018-01-14 07:56:01	1	Rubixboy	['2980']	['2794', '2793']	['×1']	['×1', '×1']
238	2018-01-14 07:56:01	1	Rubixboy	['2812']	['2793']	['×1']	['×1']
239	2018-01-14 07:56:01	1	Rubixboy	['2824']	['2793']	['×1']	['×1']
240	2018-01-14 07:56:01	1	Rubixboy	['2990']	['2793']	['×1']	['×7']
241	2018-01-14 07:56:01	1	Rubixboy	['2793']	['3249']	['×1']	['×6']
242	2018-01-14 07:56:01	1	Rubixboy	['8617']	['2794', '2793']	['×1']	['×2', '×6']
243	2018-01-14 07:56:01	1	Rubixboy	['2985']	['2793']	['×1']	['×5']
244	2018-01-14 07:55:58	2	Miillk	['2812']	['2793']	['×1']	['×1']
245	2018-01-14 07:55:58	2	Miillk	['2824']	['2793']	['×1']	['×1']
246	2018-01-14 07:55:09	1	Quindree	['2735']	['2592']	['×1']	['×1']
247	2018-01-14 07:55:09	1	Quindree	['2794']	['2592']	['×1']	['×4']
248	2018-01-14 07:54:22	1	Legitz	['2848']	['2592']	['×1']	['×1']
249	2018-01-14 07:54:22	1	Legitz	['2651']	['2592']	['×1']	['×1']
250	2018-01-14 07:54:22	1	Legitz	['3233']	['2593']	['×1']	['×1']
251	2018-01-14 07:54:22	1	Legitz	['3253']	['2593']	['×1']	['×1']
252	2018-01-14 07:54:22	1	Legitz	['3237']	['2636']	['×1']	['×1']
253	2018-01-14 07:53:52	1	EddyOrk	['2793']	['9075']	['×8']	['×1']
254	2018-01-14 07:52:55	1	StivXXX	['2793']	['2765']	['×1']	['×1']
255	2018-01-14 07:52:25	1	Rnbhat	['2793', '2990']	['29825']	['×3', '×1']	['×2']
256	2018-01-14 07:51:06	1	DDstark	['8342']	['2793']	['×1']	['×1']
257	2018-01-14 07:51:06	1	DDstark	['2794']	['2793']	['×2']	['×1']
258	2018-01-14 07:51:06	1	DDstark	['8341']	['2794']	['×1']	['×1']
259	2018-01-14 07:51:03	1	Gedway	['2641']	['2990']	['×1']	['×1']
260	2018-01-14 07:50:12	1	HistoriaMN	['2827']	['2793']	['×1']	['×2']
261	2018-01-14 07:50:12	1	HistoriaMN	['2980']	['2794', '2793']	['×1']	['×1', '×1']
262	2018-01-14 07:50:12	1	HistoriaMN	['2983']	['2794']	['×1']	['×1']
263	2018-01-14 07:50:12	1	HistoriaMN	['2861']	['2793']	['×1']	['×1']
264	2018-01-14 07:50:12	1	HistoriaMN	['2793']	['9060']	['×5']	['×1']
265	2018-01-14 07:47:09	1	Xruidy	['3249']	['2592']	['×1']	['×1']
266	2018-01-14 07:47:09	1	Xruidy	['3225']	['2592']	['×1']	['×1']
267	2018-01-14 07:47:09	1	Xruidy	['3234']	['2592']	['×1']	['×1']
268	2018-01-14 07:47:09	1	Xruidy	['2630']	['2592']	['×1']	['×1']
269	2018-01-14 07:47:09	1	Xruidy	['3217']	['2592']	['×1']	['×1']
270	2018-01-14 07:46:37	1	HixxyNero	['2850']	['2793']	['×1']	['×3']
271	2018-01-14 07:46:33	1	CardiotoxT	['3257']	['2592']	['×1']	['×1']
272	2018-01-14 07:46:33	1	CardiotoxT	['2592']	['2793']	['×5']	['×1']
273	2018-01-14 07:46:33	1	CardiotoxT	['2612']	['2592']	['×2']	['×1']
274	2018-01-14 07:46:33	1	CardiotoxT	['2794']	['2821']	['×1']	['×1']
275	2018-01-14 07:46:33	1	CardiotoxT	['2592']	['2794']	['×2']	['×1']
276	2018-01-14 07:46:33	1	CardiotoxT	['2593']	['2592']	['×3']	['×1']
277	2018-01-14 07:46:33	1	CardiotoxT	['3250']	['2793']	['×1']	['×1']
278	2018-01-14 07:46:33	1	CardiotoxT	['3237']	['2592']	['×1']	['×1']
279	2018-01-14 07:46:33	1	CardiotoxT	['2765']	['2793']	['×1']	['×2']
280	2018-01-14 07:46:33	1	CardiotoxT	['3217']	['2592']	['×1']	['×1']
281	2018-01-14 07:46:33	1	CardiotoxT	['2793']	['8617']	['×5']	['×1']
282	2018-01-14 07:46:33	1	CardiotoxT	['2703']	['2591']	['×1']	['×1']
283	2018-01-14 07:46:33	1	CardiotoxT	['2848']	['2591']	['×1']	['×1']
284	2018-01-14 07:46:33	1	CardiotoxT	['3233']	['2591']	['×1']	['×1']
285	2018-01-14 07:46:33	1	CardiotoxT	['3245']	['2591']	['×1']	['×1']
286	2018-01-14 07:46:33	1	CardiotoxT	['2794']	['2809']	['×1']	['×1']
287	2018-01-14 07:46:33	1	CardiotoxT	['2613']	['2592']	['×3']	['×1']
288	2018-01-14 07:46:33	1	CardiotoxT	['2793']	['2854']	['×2']	['×1']
289	2018-01-14 07:46:33	1	CardiotoxT	['2809']	['2793']	['×1']	['×1']
290	2018-01-14 07:46:33	1	CardiotoxT	['2631']	['2592']	['×1']	['×2']
291	2018-01-14 07:46:33	1	CardiotoxT	['2821']	['2793']	['×1']	['×1']
292	2018-01-14 07:46:33	1	CardiotoxT	['2591']	['2592']	['×1']	['×1']
293	2018-01-14 07:46:33	1	CardiotoxT	['2827']	['2793']	['×1']	['×2']
294	2018-01-14 07:46:33	1	CardiotoxT	['2850']	['2793']	['×1']	['×3']
295	2018-01-14 07:46:33	1	CardiotoxT	['2824']	['2793']	['×1']	['×1']
296	2018-01-14 07:46:33	1	CardiotoxT	['2812']	['2793']	['×1']	['×1']
297	2018-01-14 07:46:33	1	CardiotoxT	['2706']	['2591']	['×1']	['×1']
298	2018-01-14 07:46:33	1	CardiotoxT	['2793']	['8608']	['×5']	['×1']
299	2018-01-14 07:46:33	1	CardiotoxT	['2793']	['9063']	['×5']	['×1']
300	2018-01-14 07:46:33	1	CardiotoxT	['2793']	['9056']	['×5']	['×1']
301	2018-01-14 07:46:33	1	CardiotoxT	['2793']	['2985']	['×3']	['×1']
302	2018-01-14 07:46:33	1	CardiotoxT	['2815']	['2793']	['×1']	['×1']
303	2018-01-14 07:46:33	1	CardiotoxT	['2698']	['2592']	['×1']	['×1']
304	2018-01-14 07:45:40	1	Blar	['2593']	['2592']	['×8']	['×3']
305	2018-01-14 07:45:40	1	Blar	['2760']	['2793']	['×2']	['×1']
306	2018-01-14 07:44:19	1	DeadBanana	['3233']	['3241']	['×1']	['×1']
307	2018-01-14 07:39:00	1	VitorVS	['8335']	['8993']	['×1']	['×1']
308	2018-01-14 07:39:00	1	VitorVS	['2812']	['2793']	['×1']	['×1']
309	2018-01-14 07:39:00	1	VitorVS	['2793']	['8858']	['×3']	['×1']
310	2018-01-14 07:39:00	1	VitorVS	['2827']	['2793']	['×1']	['×2']
311	2018-01-14 07:39:00	1	VitorVS	['8335']	['2793']	['×1']	['×5']
